team_id,team_abbreviation,team_name,gp,w,l,min,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct,season_year
1610612737,ATL,Atlanta Hawks,23,12,11,240,6.7,4.3,35.7,16.8,24.9,0.674,2021-22
1610612738,BOS,Boston Celtics,24,13,11,246.2,7.3,5.7,36.2,14.7,23,0.638,2021-22
1610612751,BKN,Brooklyn Nets,23,16,7,240,6.8,5.3,36.4,16.8,26.3,0.639,2021-22
1610612766,CHA,Charlotte Hornets,23,13,10,243.3,9,5.6,34.3,18.5,27.4,0.674,2021-22
1610612741,CHI,Chicago Bulls,24,16,8,240,8.1,4.7,34.5,16.2,26.2,0.619,2021-22
1610612739,CLE,Cleveland Cavaliers,23,13,10,240,7.1,4.3,35,16.6,26.8,0.619,2021-22
1610612742,DAL,Dallas Mavericks,22,11,11,241.1,7.5,4,33.5,15.3,23.7,0.646,2021-22
1610612743,DEN,Denver Nuggets,22,11,11,240,7.3,4,33.8,16.3,24.6,0.664,2021-22
1610612765,DET,Detroit Pistons,22,4,18,240,8.1,4.8,31.7,16.5,26,0.635,2021-22
1610612744,GSW,Golden State Warriors,23,19,4,241.1,9.7,4.8,37.2,13.3,22.4,0.596,2021-22
1610612745,HOU,Houston Rockets,22,6,16,241.1,7.2,5.1,35.8,18.1,27.5,0.658,2021-22
1610612754,IND,Indiana Pacers,25,9,16,243,7,6,35.7,16.3,27,0.603,2021-22
1610612746,LAC,LA Clippers,24,12,12,241,7.9,4.3,35.7,16.3,27,0.606,2021-22
1610612747,LAL,Los Angeles Lakers,24,12,12,247.3,8.5,5.8,36.3,18.1,27.5,0.658,2021-22
1610612763,MEM,Memphis Grizzlies,23,13,10,242.2,9.7,6.3,35,16.8,27.1,0.621,2021-22
1610612748,MIA,Miami Heat,24,14,10,242.1,7.4,2.7,34.1,14.5,21,0.687,2021-22
1610612749,MIL,Milwaukee Bucks,24,15,9,241,7.2,4.5,37.3,14.4,23.6,0.608,2021-22
1610612750,MIN,Minnesota Timberwolves,23,11,12,243.3,8.8,6.1,32.3,16.8,26.1,0.645,2021-22
1610612740,NOP,New Orleans Pelicans,25,7,18,240,7.5,3.9,33.8,14.3,20.4,0.701,2021-22
1610612752,NYK,New York Knicks,23,11,12,242.2,7,5.7,34.8,15,24.3,0.619,2021-22
1610612760,OKC,Oklahoma City Thunder,22,6,16,240,7,4.7,36,15.4,25,0.615,2021-22
1610612753,ORL,Orlando Magic,24,5,19,240,6.7,4.9,35.2,15,23.5,0.641,2021-22
1610612755,PHI,Philadelphia 76ers,23,12,11,242.2,8.1,5.9,33.7,16.3,25.3,0.647,2021-22
1610612756,PHX,Phoenix Suns,23,19,4,240,9,4,36.2,15.2,25,0.609,2021-22
1610612757,POR,Portland Trail Blazers,24,11,13,240,7.8,4.6,33.9,16.5,24.8,0.665,2021-22
1610612758,SAC,Sacramento Kings,23,9,14,243.3,7.3,4.9,34.2,18,28.1,0.638,2021-22
1610612759,SAS,San Antonio Spurs,21,8,13,241.2,8.6,5.1,35.1,17.7,29.6,0.598,2021-22
1610612761,TOR,Toronto Raptors,23,10,13,240,9.5,4.7,30.9,16,25,0.641,2021-22
1610612762,UTA,Utah Jazz,22,15,7,240,7.4,5.5,36.5,15,24.1,0.621,2021-22
1610612764,WAS,Washington Wizards,23,14,9,243.3,6.2,5.4,36.8,16.1,25.9,0.622,2021-22
